X1,"Tag A, Tag B, Tag C"
X2,Tag A
X3,Tag A
X4,"Tag A, Tag C"
X5,Tag B
X6,"Tag B, Tag C"
X7,"Tag A, Tag B, Tag C"
X8,Tag A
X9,"Tag A, Tag C"
X10,"Tag A, Tag C"
X11,"Tag A, Tag C"
X12,"Tag A, Tag C"
X13,Tag C
X14,"Tag A, Tag B"
X15,"Tag A, Tag B, Tag C"
X16,"Tag A, Tag C"
X17,"Tag A, Tag B"
X18,Tag B
X19,Tag A
X20,"Tag A, Tag C"
X21,Tag C
X22,Tag C
X23,Tag A
X24,"Tag A, Tag B"
X25,Tag B
X26,Tag C
X27,"Tag A, Tag B, Tag C"
X28,Tag B
X29,Tag A
X30,Tag C
X31,"Tag A, Tag C"
X32,Tag A
X33,Tag A
X34,"Tag A, Tag C"
X35,Tag C
X36,"Tag A, Tag B"
